avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,depth,breadth_mode,breadth_factor,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr,holdout_avg_size,xirr_pct_of_base,dd_improvement,wr_improvement
1441.9,-7.7,6.22,1267.0,53.9,-0.3,skip_30-50,0.0,3,1.5,0.02,7,d30_skip_30-50_D3_R1.5_T0.02_H7,999.7,-7.9,6.04,2202,45.0,0.802,52.60194685609051,-2.6999999999999993,-10.0
1416.0,-6.9,6.19,1267.0,52.8,-0.3,skip_30-55,0.0,3,1.5,0.02,7,d30_skip_30-55_D3_R1.5_T0.02_H7,938.6,-5.5,5.99,2202,42.8,0.746,49.387003420152595,-5.1,-12.200000000000003
5244.5,-7.1,7.41,1649.0,58.3,,none,1.0,3,1.0,0.02,10,dNone_none_D3_R1.0_T0.02_H10,2782.5,-10.6,7.05,2724,54.3,1.0,146.40883977900552,0.0,-0.7000000000000028
5244.5,-7.1,7.41,1649.0,58.3,,reduce_30-50_1.0,1.0,3,1.0,0.02,10,dNone_reduce_30-50_1.0_D3_R1.0_T0.02_H10,2782.5,-10.6,7.05,2724,54.3,1.0,146.40883977900552,0.0,-0.7000000000000028
5120.1,-7.0,7.4,1649.0,58.3,,reduce_30-50_0.8,0.8,3,1.0,0.02,10,dNone_reduce_30-50_0.8_D3_R1.0_T0.02_H10,2540.5,-10.2,7.04,2724,54.3,0.963,133.67534859247567,-0.40000000000000036,-0.7000000000000028
5009.3,-6.8,7.37,1649.0,58.3,,reduce_30-50_0.6,0.6,3,1.0,0.02,10,dNone_reduce_30-50_0.6_D3_R1.0_T0.02_H10,2315.2,-9.7,6.99,2724,54.3,0.925,121.82057353328071,-0.9000000000000004,-0.7000000000000028
4958.5,-6.7,7.34,1649.0,58.3,,reduce_30-50_0.5,0.5,3,1.0,0.02,10,dNone_reduce_30-50_0.5_D3_R1.0_T0.02_H10,2208.5,-9.4,6.94,2724,54.3,0.907,116.20626151012891,-1.1999999999999993,-0.7000000000000028
4910.7,-6.7,7.31,1649.0,58.3,,reduce_30-50_0.4,0.4,3,1.0,0.02,10,dNone_reduce_30-50_0.4_D3_R1.0_T0.02_H10,2105.6,-9.4,6.88,2724,54.3,0.888,110.79189686924494,-1.1999999999999993,-0.7000000000000028
5083.9,-6.7,7.4,1649.0,58.3,,reduce_30-55_0.8,0.8,3,1.0,0.02,10,dNone_reduce_30-55_0.8_D3_R1.0_T0.02_H10,2468.0,-9.4,7.06,2724,54.3,0.952,129.86056300973428,-1.1999999999999993,-0.7000000000000028
4946.6,-6.3,7.37,1649.0,58.3,,reduce_30-55_0.6,0.6,3,1.0,0.02,10,dNone_reduce_30-55_0.6_D3_R1.0_T0.02_H10,2183.0,-8.2,7.01,2724,54.3,0.904,114.86450933964747,-2.4000000000000004,-0.7000000000000028
4885.7,-6.1,7.34,1649.0,58.3,,reduce_30-55_0.5,0.5,3,1.0,0.02,10,dNone_reduce_30-55_0.5_D3_R1.0_T0.02_H10,2050.8,-7.6,6.96,2724,54.3,0.88,107.9084451460142,-3.0,-0.7000000000000028
