avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,depth,gap,breadth_mode,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr,xirr_pct_of_base,dd_improvement,wr_improvement,sweet_score
231.8,-8.2,3.94,499.0,58.9,-0.2,-0.02,only_broad>50,4,1.5,0.02,7,d20_g2_only_broad>50_D4_R1.5_T0.02_H7,192.5,-10.4,3.95,747,58.9,8.793166453498996,0.0,4.199999999999996,-999.0
438.2,-7.6,4.88,721.0,58.5,-0.2,-0.03,none,4,1.5,0.02,7,d20_g3_none_D4_R1.5_T0.02_H7,551.4,-7.1,5.39,1341,56.6,25.187283025762834,-3.3000000000000007,1.8999999999999986,-999.0
357.0,-8.7,4.66,629.0,58.9,-0.2,-0.03,skip_30-50,4,1.5,0.02,7,d20_g3_skip_30-50_D4_R1.5_T0.02_H7,392.8,-10.4,4.96,1064,57.6,17.942627443815095,0.0,2.8999999999999986,-999.0
420.1,-8.5,4.39,582.0,59.3,-0.2,-0.05,only_broad>50,4,1.5,0.02,7,d20_g5_only_broad>50_D4_R1.5_T0.02_H7,255.2,-10.4,4.33,841,58.0,11.65722638406724,0.0,3.299999999999997,-999.0
324.6,-8.7,4.6,608.0,59.1,-0.2,-0.03,skip_25-50,4,1.5,0.02,7,d20_g3_skip_25-50_D4_R1.5_T0.02_H7,322.2,-10.4,4.87,1002,58.1,14.717705097752603,0.0,3.3999999999999986,-999.0
324.9,-7.5,4.67,581.0,60.3,-0.2,-0.03,skip_25-55,4,1.5,0.02,7,d20_g3_skip_25-55_D4_R1.5_T0.02_H7,322.9,-6.8,5.02,921,60.2,14.7496802484926,-3.6000000000000005,5.5,-999.0
807.8,-8.1,5.42,851.0,60.3,-0.25,,none,4,1.5,0.02,7,d25_gNone_none_D4_R1.5_T0.02_H7,781.6,-7.1,5.74,1525,57.1,35.702539740544495,-3.3000000000000007,2.3999999999999986,-999.0
243.8,-6.4,3.99,487.0,58.6,-0.2,-0.03,only_bear<30,4,1.5,0.02,7,d20_g3_only_bear<30_D4_R1.5_T0.02_H7,150.9,-6.4,3.7,638,57.2,6.8929289238077835,-4.0,2.5,-999.0
229.6,-6.4,3.95,466.0,59.2,-0.2,-0.03,only_bear<25,4,1.5,0.02,7,d20_g3_only_bear<25_D4_R1.5_T0.02_H7,114.9,-6.4,3.62,576,58.0,5.248492600036544,-4.0,3.299999999999997,-999.0
278.7,-8.7,4.24,536.0,58.9,-0.2,-0.03,only_broad>50,4,1.5,0.02,7,d20_g3_only_broad>50_D4_R1.5_T0.02_H7,210.2,-10.4,4.19,785,58.0,9.601680979353189,0.0,3.299999999999997,-999.0
357.3,-6.1,4.04,500.0,60.1,-0.2,-0.05,only_bear<25,4,1.5,0.02,7,d20_g5_only_bear<25_D4_R1.5_T0.02_H7,124.7,-6.4,3.67,597,59.1,5.696144710396492,-4.0,4.399999999999999,-999.0
587.7,-7.4,4.99,771.0,59.1,-0.2,-0.05,none,4,1.5,0.02,7,d20_g5_none_D4_R1.5_T0.02_H7,620.9,-7.1,5.46,1410,56.6,28.36195870637676,-3.3000000000000007,1.8999999999999986,-999.0
504.5,-8.5,4.78,676.0,59.5,-0.2,-0.05,skip_30-50,4,1.5,0.02,7,d20_g5_skip_30-50_D4_R1.5_T0.02_H7,454.8,-10.4,5.06,1125,57.8,20.774712223643345,0.0,3.0999999999999943,-999.0
468.7,-8.5,4.72,656.0,59.7,-0.2,-0.05,skip_25-50,4,1.5,0.02,7,d20_g5_skip_25-50_D4_R1.5_T0.02_H7,375.3,-10.4,4.96,1063,58.2,17.14324867531519,0.0,3.5,-999.0
506.0,-6.4,4.83,648.0,60.4,-0.2,-0.05,skip_30-55,4,1.5,0.02,7,d20_g5_skip_30-55_D4_R1.5_T0.02_H7,457.9,-6.4,5.16,1039,59.5,20.916316462634754,-4.0,4.799999999999997,-999.0
303.7,-6.0,4.42,561.0,60.3,-0.2,-0.02,skip_30-55,4,1.5,0.02,7,d20_g2_skip_30-55_D4_R1.5_T0.02_H7,349.7,-6.4,4.88,932,61.2,15.973871733966746,-4.0,6.5,-999.0
278.5,-8.2,4.31,568.0,59.4,-0.2,-0.02,skip_25-50,4,1.5,0.02,7,d20_g2_skip_25-50_D4_R1.5_T0.02_H7,298.2,-10.4,4.67,953,59.6,13.621414215238445,0.0,4.899999999999999,-999.0
371.2,-6.1,4.09,521.0,59.5,-0.2,-0.05,only_bear<30,4,1.5,0.02,7,d20_g5_only_bear<30_D4_R1.5_T0.02_H7,162.2,-6.4,3.76,659,58.3,7.4090992143248675,-4.0,3.5999999999999943,-999.0
756.4,-6.8,4.88,659.0,60.5,,-0.05,only_broad>50,4,1.5,0.02,7,dNone_g5_only_broad>50_D4_R1.5_T0.02_H7,305.3,-8.5,4.55,886,58.1,13.945733601315553,-1.9000000000000004,3.3999999999999986,-999.0
493.3,-7.0,4.68,593.0,60.7,,-0.03,only_broad>50,4,1.5,0.02,7,dNone_g3_only_broad>50_D4_R1.5_T0.02_H7,264.0,-9.5,4.43,821,59.0,12.059199707655765,-0.9000000000000004,4.299999999999997,-999.0
