avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,bucket,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr
1784.6,-16.3,5.18,1193.0,53.1,no_filter,4,1.0,0.03,7,no_filter_D4_R1.0_T0.03_H7,1096.6,-19.0,5.02,2024,50.5
1406.6,-15.8,5.09,1138.0,53.1,max_25%,4,1.0,0.03,10,max_25%_D4_R1.0_T0.03_H10,1014.8,-19.1,5.02,1980,51.0
2088.4,-12.1,5.42,1070.0,55.5,min_10%,3,1.0,0.03,5,min_10%_D3_R1.0_T0.03_H5,1269.1,-19.3,5.0,1705,52.0
3646.2,-11.7,5.45,1070.0,56.1,min_10%,3,1.0,0.03,10,min_10%_D3_R1.0_T0.03_H10,2036.1,-18.3,4.99,1705,53.1
658.2,-7.3,4.88,654.0,62.3,min_5%,4,2.0,0.02,10,min_5%_D4_R2.0_T0.02_H10,715.2,-8.1,4.98,1172,57.5
2760.2,-12.1,5.37,1070.0,55.9,min_10%,3,1.0,0.03,7,min_10%_D3_R1.0_T0.03_H7,1542.9,-19.4,4.98,1705,52.8
1756.3,-18.7,5.08,1513.0,50.2,max_15%,3,1.0,0.03,10,max_15%_D3_R1.0_T0.03_H10,1059.4,-16.4,4.97,2587,48.7
2901.4,-14.9,5.55,1343.0,54.0,no_filter,3,1.5,0.03,10,no_filter_D3_R1.5_T0.03_H10,1599.5,-19.1,4.94,2282,51.0
477.7,-8.0,4.79,709.0,60.7,max_20%,5,1.0,0.02,5,max_20%_D5_R1.0_T0.02_H5,567.6,-9.9,4.93,1297,55.9
819.4,-5.2,5.21,516.0,69.1,min_15%,3,1.5,0.02,5,min_15%_D3_R1.5_T0.02_H5,617.8,-8.9,4.93,816,66.4
1543.0,-13.9,5.38,1343.0,53.5,no_filter,3,1.5,0.03,5,no_filter_D3_R1.5_T0.03_H5,911.2,-18.5,4.91,2282,50.3
630.4,-7.4,5.02,760.0,61.8,max_25%,5,1.0,0.02,5,max_25%_D5_R1.0_T0.02_H5,692.9,-9.2,4.89,1364,56.9
523.2,-9.4,4.75,846.0,55.7,max_15%,3,2.0,0.02,10,max_15%_D3_R2.0_T0.02_H10,622.4,-10.9,4.89,1578,52.1
1128.5,-15.6,4.91,1138.0,52.6,max_25%,4,1.0,0.03,7,max_25%_D4_R1.0_T0.03_H7,844.4,-18.6,4.87,1980,50.8
471.2,-9.4,4.76,846.0,55.7,max_15%,3,2.0,0.02,7,max_15%_D3_R2.0_T0.02_H7,552.6,-10.8,4.86,1578,52.1
1724.9,-12.1,4.84,827.0,57.1,min_10%,4,1.0,0.03,10,min_10%_D4_R1.0_T0.03_H10,1246.8,-14.1,4.86,1347,54.9
1034.3,-6.6,5.15,515.0,69.7,min_15%,4,1.0,0.02,5,min_15%_D4_R1.0_T0.02_H5,830.7,-7.2,4.86,788,67.9
523.3,-7.7,4.75,709.0,60.2,max_20%,5,1.0,0.02,7,max_20%_D5_R1.0_T0.02_H7,614.7,-9.9,4.85,1297,55.2
350.0,-8.3,4.53,602.0,60.2,max_20%,4,2.0,0.02,7,max_20%_D4_R2.0_T0.02_H7,397.4,-8.2,4.85,1147,56.0
